Feature Area,Sub-Feature,Phase,Platform,Priority,Status,Agent Role,Dependencies,Design Status,Notes
Database Foundation,social_profiles table,1,Backend,P0,Complete,Supabase Engineer,Supabase project setup,Not needed,044_social_profiles.sql — with role CHECK / xp / level / shield_count / triggers
Database Foundation,social_posts table,1,Backend,P0,Complete,Supabase Engineer,social_profiles,Not needed,045_social_posts.sql — 10 post types / moderation_status / JSONB payloads / counter triggers
Database Foundation,social_comments table,1,Backend,P0,Complete,Supabase Engineer,social_posts,Not needed,048_social_comments.sql — threaded + teacher pin + comment_likes table
Database Foundation,social_likes table,1,Backend,P0,Complete,Supabase Engineer,social_posts social_profiles,Not needed,046_social_interactions.sql — social_likes (3 reactions) + social_saves + counter triggers
Database Foundation,social_follows table,1,Backend,P1,Complete,Supabase Engineer,social_profiles,Not needed,047_social_follows.sql — no-self-follow constraint + follower_count triggers
Database Foundation,social_notifications table,1,Backend,P0,Complete,Supabase Engineer,social_profiles,Not needed,049_social_notifications.sql — 15 notification types
Database Foundation,RLS Policies,1,Backend,P0,Complete,Supabase Engineer,All social tables,Not needed,051_social_rls_policies.sql — school-scoped isolation on social_posts / social_my_school_id() helper
Database Foundation,Performance Indexes,1,Backend,P0,Complete,Supabase Engineer,All social tables,Not needed,052_social_indexes.sql — 20+ indexes incl. school_id/created_at composite
Moderation System,social_moderation_queue table,1,Backend,P0,Complete,Trust & Safety Engineer,social_posts,Not needed,050_social_moderation.sql — auto-enqueue trigger + approval sync trigger
Moderation System,AI content screening (text),1,Backend,P0,Not Started,Trust & Safety Engineer,social_moderation_queue,Not needed,OpenAI moderation API integration
Moderation System,AI content screening (image),1,Backend,P1,Not Started,Trust & Safety Engineer,social_moderation_queue,Not needed,Google Vision API for image safety
Moderation System,Parent consent flow for student posts,1,Backend + Mobile,P0,Not Started,Trust & Safety Engineer,social_posts,Pending Figma 7.1,Parent must approve before student post goes live
Moderation System,School admin moderation panel,1,Mobile + Backend,P0,Not Started,Trust & Safety Engineer,social_moderation_queue,Pending Figma 7.3,School admin approves/rejects school-scoped posts
